Date,total
20160923 (Friday),160
20160924 (Saturday),17
20160925 (Sunday),17
20160926 (Monday),104
20160927 (Tuesday),51
20160928 (Wednesday),38
20160929 (Thursday),152
20160930 (Friday),58
20161001 (Saturday),12
20161002 (Sunday),29
20161003 (Monday),95
20161004 (Tuesday),203
20161005 (Wednesday),158
20161006 (Thursday),184
20161007 (Friday),114
20161008 (Saturday),26
20161009 (Sunday),21
20161010 (Monday),15
20161011 (Tuesday),53
20161012 (Wednesday),143
20161013 (Thursday),149
20161014 (Friday),101
20161015 (Saturday),26
20161016 (Sunday),23
20161017 (Monday),109
20161018 (Tuesday),90
20161019 (Wednesday),181
20161020 (Thursday),96
20161021 (Friday),73
20161022 (Saturday),14
20161023 (Sunday),9
20161024 (Monday),107
20161025 (Tuesday),79
20161026 (Wednesday),228
20161027 (Thursday),116
20161028 (Friday),151
20161029 (Saturday),100
20161030 (Sunday),43
20161031 (Monday),63
20161101 (Tuesday),176
20161102 (Wednesday),159
20161103 (Thursday),179
20161104 (Friday),193
20161105 (Saturday),31
20161106 (Sunday),49
20161107 (Monday),145
20161108 (Tuesday),281
20161109 (Wednesday),279
20161110 (Thursday),179
20161111 (Friday),85
20161112 (Saturday),14
20161113 (Sunday),40
20161114 (Monday),195
20161115 (Tuesday),152
20161116 (Wednesday),226
20161117 (Thursday),210
20161118 (Friday),124
